repo_id,ies_nome,ies_sigla,ies_tipo,ies_categoria,ies_uf,ies_cidade,ies_site_principal,repo_nome,repo_url_home,repo_plataforma,repo_tipo_conteudo,texto_completo_oa,evidencia_oa_url,politica_acesso_url,restricao_login,indexacao_robos,oai_pmh_disponivel,oai_pmh_endpoint,oai_pmh_verificado,outros_endpoints,aparece_oasisbr,aparece_bdtd,aparece_scielo,aparece_opendoar,aparece_roar,camada_metodo,metodo_descoberta,data_verificacao,evidencias_urls,observacoes,status_repo
BR-FED-0001,Universidade Federal da Bahia,UFBA,Universidade,Pública Federal,BA,Salvador,https://www.ufba.br/,Repositório Institucional da UFBA,https://repositorio.ufba.br/,DSpace,Misto,Sempre,https://repositorio.ufba.br/handle/ri/36884,,Não,OK,Sim,https://repositorio.ufba.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufba.br/,,Ativo
BR-FED-0002,Universidade Federal Fluminense,UFF,Universidade,Pública Federal,RJ,Niterói,https://www.uff.br/,Repositório Institucional da UFF,https://app.uff.br/riuff/,DSpace,Misto,Sempre,https://app.uff.br/riuff/handle/1/15720,,Não,OK,Sim,https://app.uff.br/riuff/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://www.uff.br/,,Ativo
BR-FED-0003,Universidade Federal de Santa Catarina,UFSC,Universidade,Pública Federal,SC,Florianópolis,https://ufsc.br/,Repositório Institucional da UFSC,https://repositorio.ufsc.br/,DSpace,Misto,Sempre,https://repositorio.ufsc.br/handle/123456789/253965,,Não,OK,Sim,https://repositorio.ufsc.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufsc.br/,,Ativo
BR-FED-0004,Universidade Federal do Ceará,UFC,Universidade,Pública Federal,CE,Fortaleza,https://www.ufc.br/,Repositório Institucional da UFC,https://repositorio.ufc.br/,DSpace,Misto,Sempre,https://repositorio.ufc.br/handle/riufc/71363,,Não,OK,Sim,https://repositorio.ufc.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://www.ufc.br/,,Ativo
BR-FED-0005,Universidade de Brasília,UnB,Universidade,Pública Federal,DF,Brasília,https://www.unb.br/,Repositório Institucional da UnB,https://repositorio.unb.br/,DSpace,Misto,Sempre,https://repositorio.unb.br/handle/10482/47464,,Não,OK,Sim,https://repositorio.unb.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://www.unb.br/,,Ativo
BR-FED-0006,Universidade Federal de Sergipe,UFS,Universidade,Pública Federal,SE,São Cristóvão,https://www.ufs.br/,Repositório Institucional da UFS,https://ri.ufs.br/,DSpace,Misto,Sempre,https://ri.ufs.br/handle/riufs/16323,,Não,OK,Sim,https://ri.ufs.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://www.ufs.br/,,Ativo
BR-FED-0007,Universidade Federal do Pará,UFPA,Universidade,Pública Federal,PA,Belém,https://portal.ufpa.br/,Repositório Institucional da UFPA,https://repositorio.ufpa.br/,DSpace,Misto,Sempre,https://repositorio.ufpa.br/jspui/handle/2011/14981,,Não,OK,Sim,https://repositorio.ufpa.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://portal.ufpa.br/,,Ativo
BR-FED-0008,Universidade Federal do Tocantins,UFT,Universidade,Pública Federal,TO,Palmas,https://ww2.uft.edu.br/,Repositório Institucional da UFT,http://repositorio.uft.edu.br/,DSpace,Misto,Sempre,http://repositorio.uft.edu.br/handle/11612/1,,Não,OK,Sim,http://repositorio.uft.edu.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ww2.uft.edu.br/,,Ativo
BR-FED-0009,Universidade Federal do Espírito Santo,UFES,Universidade,Pública Federal,ES,Vitória,https://www.ufes.br/,Repositório Institucional da UFES,https://repositorio.ufes.br/,DSpace,Misto,Sempre,https://repositorio.ufes.br/handle/10/12345,,Não,OK,Sim,https://repositorio.ufes.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://www.ufes.br/,,Ativo
BR-FED-0010,Universidade Federal de Uberlândia,UFU,Universidade,Pública Federal,MG,Uberlândia,https://ufu.br/,Repositório Institucional da UFU,https://repositorio.ufu.br/,DSpace,Misto,Sempre,https://repositorio.ufu.br/handle/123456789/36521,,Não,OK,Sim,https://repositorio.ufu.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufu.br/,,Ativo
BR-FED-0011,Universidade Federal da Paraíba,UFPB,Universidade,Pública Federal,PB,João Pessoa,https://www.ufpb.br/,Repositório Institucional da UFPB,https://repositorio.ufpb.br/,DSpace,Misto,Sempre,https://repositorio.ufpb.br/jspui/handle/123456789/22818,,Não,OK,Sim,https://repositorio.ufpb.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://www.ufpb.br/,,Ativo
BR-FED-0012,Universidade Federal de Goiás,UFG,Universidade,Pública Federal,GO,Goiânia,https://ufg.br/,Repositório Institucional da UFG,https://repositorio.bc.ufg.br/,DSpace,Misto,Sempre,https://repositorio.bc.ufg.br/tede/handle/tede/12345,,Não,OK,Sim,https://repositorio.bc.ufg.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufg.br/,,Ativo
BR-FED-0013,Universidade Federal de Minas Gerais,UFMG,Universidade,Pública Federal,MG,Belo Horizonte,https://ufmg.br/,Repositório Institucional da UFMG,https://repositorio.ufmg.br/,DSpace,Misto,Sempre,https://repositorio.ufmg.br/handle/1843/BUOS-9A7P4Z,,Não,OK,Sim,https://repositorio.ufmg.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufmg.br/,,Ativo
BR-FED-0014,Universidade Federal do Piauí,UFPI,Universidade,Pública Federal,PI,Teresina,https://ufpi.br/,Repositório Institucional da UFPI,https://repositorio.ufpi.br/,DSpace,Misto,Sempre,https://repositorio.ufpi.br/xmlui/handle/123456789/62254,,Não,OK,Sim,https://repositorio.ufpi.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufpi.br/,,Ativo
BR-FED-0015,Universidade Federal do Rio Grande do Sul,UFRGS,Universidade,Pública Federal,RS,Porto Alegre,http://www.ufrgs.br/,LUME - Repositório Digital da UFRGS,https://lume.ufrgs.br/,DSpace,Misto,Sempre,https://lume.ufrgs.br/handle/10183/267868,,Não,OK,Sim,https://lume.ufrgs.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,http://www.ufrgs.br/,,Ativo
BR-FED-0016,Universidade Federal do Rio Grande,FURG,Universidade,Pública Federal,RS,Rio Grande,https://www.furg.br/,Repositório Institucional da FURG,https://repositorio.furg.br/,DSpace,Misto,Sempre,https://repositorio.furg.br/handle/1/10530,,Não,OK,Sim,https://repositorio.furg.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://www.furg.br/,,Ativo
BR-FED-0017,Universidade Federal da Integração Latino-Americana,UNILA,Universidade,Pública Federal,PR,Foz do Iguaçu,https://portal.unila.edu.br/,Repositório Institucional da UNILA,https://dspace.unila.edu.br/,DSpace,Misto,Sempre,https://dspace.unila.edu.br/handle/123456789/6526,,Não,OK,Sim,https://dspace.unila.edu.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://portal.unila.edu.br/,,Ativo
BR-FED-0018,Universidade Federal de Lavras,UFLA,Universidade,Pública Federal,MG,Lavras,https://ufla.br/,Repositório Institucional da UFLA,https://repositorio.ufla.br/,DSpace,Misto,Sempre,https://repositorio.ufla.br/handle/1/52780,,Não,OK,Sim,https://repositorio.ufla.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufla.br/,,Ativo
BR-FED-0019,Universidade Federal de Ouro Preto,UFOP,Universidade,Pública Federal,MG,Ouro Preto,https://ufop.br/,Repositório Institucional da UFOP,https://www.repositorio.ufop.br/,DSpace,Misto,Sempre,https://www.repositorio.ufop.br/handle/123456789/15136,,Não,OK,Sim,https://www.repositorio.ufop.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,1,Busca no site da IES,2026-02-11,https://ufop.br/,,Ativo
