study_id,referencia_completa,ano,tipo_documento,fonte_repositorio,url_item,idioma,area_campo,país_contexto,nota_resumo_escopo
"AVALIA____O_DA_DESTANIZA____O_DO_PED__NCULO_DE_CAJU__Anacardium_occidentale__POR_EXPOSI____O_A_VAPOR","AVALIA├ç├âO DA DESTANIZA├ç├âO DO PED├ÜNCULO DE CAJU (Anacardium occidentale) POR EXPOSI├ç├âO A VAPOR DE ETANOL","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/30191","pt","Indefinido","Brasil","O estudo objetivou avaliar a destanização do pedúnculo de caju. A metodologia principal envolveu a exposição do pedúnculo ao vapor de etanol. O resultado chave esperado é a determinação da eficácia do vapor de etanol na redução dos taninos...."
"An__lise_bibliom__trica_da_gest__o_e_aplica____o_dos_res__duos_oriundos_do_processamento_do_caju__An","An├ílise bibliom├®trica da gest├úo e aplica├º├úo dos res├¡duos oriundos do processamento do caju (Anacardium occidentale)","s.d.","Texto","Repository","https://ri.ufs.br/handle/riufs/10399","pt","Indefinido","Brasil","O estudo objetivou analisar bibliometricamente a gestão e aplicação de resíduos do processamento do caju (Anacardium occidentale), visando fornecer suporte a pesquisadores. A metodologia principal envolveu a aplicação de análise de redes para avaliar as relações entre palavras-chave e áreas temática..."
"An__lise_da_composi____o_das_cinzas_do_baga__o_do_ped__nculo_do_caj____Anacardium_occidentale_L___e_","An├ílise da composi├º├úo das cinzas do baga├ºo do ped├║nculo do caj├║ (Anacardium occidentale L.) e sua atividade antif├║ngica in vitro contra esp├®cies de Fusarium","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/26139","pt","Indefinido","Brasil","Esta dissertação objetivou analisar a composição das cinzas do bagaço do pedúnculo do caju (Anacardium occidentale L.). A metodologia principal envolveu a análise laboratorial da composição das cinzas. O resultado chave investigou a atividade antifúngica in vitro dessas cinzas contra espécies de Fus..."
"Anacardium_occidentale__avalia____o_do_efeito_fotoprotetor_e_conservante_em_prepara____es_cosm__tica","Anacardium occidentale: avalia├º├úo do efeito fotoprotetor e conservante em prepara├º├Áes cosm├®ticas","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/3529","pt","Indefinido","Brasil","Esta dissertação avaliou o potencial do *Anacardium occidentale* como fotoprotetor e conservante em cosméticos. A metodologia principal envolveu a análise da atividade do extrato em preparações cosméticas. O resultado chave indicou o potencial do *Anacardium occidentale* para aplicação cosmética com..."
"Aspectos_da_avalia____o_f__sica__qu__mica__f__sico_qu__mica_e_aproveitamento_industrial_de_diferente","Aspectos da avalia├º├úo f├¡sica, qu├¡mica, f├¡sico-qu├¡mica e aproveitamento industrial de diferentes clones de caju (Anacardium occidentale, L.)","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/78199","pt","Indefinido","Brasil","Este estudo avaliou as características físico-químicas e o potencial de aproveitamento industrial de diferentes clones de *Anacardium occidentale* L. A metodologia principal envolveu a análise de amostras de cajus para determinar suas propriedades. O resultado chave foi a identificação de clones com..."
"Aspectos_da_industrializa____o_da_castanha_de_caju__Anacardium_accidentale__L__","Aspectos da industrializa├º├úo da castanha de caju (Anacardium accidentale, L.)","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/74581","pt","Indefinido","Brasil","A dissertação objetiva analisar aspectos da industrialização da castanha de caju. A metodologia principal envolveu a avaliação da qualidade e aceitação de produtos derivados, como creme de amêndoas, durante o período de estocagem. O resultado chave demonstra o comportamento do creme de amêndoas da c..."
"Atividade_antimicrobiana_in_vitro_dos_extratos_aquosos__hidroalco__licos_e_alco__licos_de_esp__cies_","Atividade antimicrobiana in vitro dos extratos aquosos, hidroalco├│licos e alco├│licos de esp├®cies da fam├¡lia Anacardiaceae","s.d.","Texto","Repository","https://repositorio.ufba.br/handle/ri/23279","pt","Indefinido","Brasil","O estudo objetivou verificar a atividade antimicrobiana de extratos (aquosos, hidroalcoólicos e alcoólicos) de folhas da família Anacardiaceae. A metodologia empregou difusão em ágar, testando os extratos em diferentes concentrações. Os extratos alcoólicos demonstraram maior atividade antimicrobiana..."
"Atividade_larvicida_de_Anacardium_occidentale_como_alternativa_ao_controle_de_Aedes_aegypti_e_sua_to","Atividade larvicida de Anacardium occidentale como alternativa ao controle de Aedes aegypti e sua toxicidade em Rattus norvegicus","s.d.","Texto","Repository","https://repositorio.ufba.br/handle/ri/14905","pt","Indefinido","Brasil","Este estudo avaliou o potencial larvicida do líquido da castanha de caju (LCC) e suas frações contra *Aedes aegypti*, bem como sua toxicidade em *Rattus norvegicus*. O LCC foi fracionado e as frações resultantes foram submetidas a testes larvicidas e de toxicidade oral aguda. O LCC e as frações AO2 ..."
"Atributos_qu__micos_do_solo__crescimento_e_estado_nutricional_de_cajueiro_adubado_com_farinha_de_oss","Atributos qu├¡micos do solo, crescimento e estado nutricional de cajueiro adubado com farinha de ossos e tratado com hidrogel.","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/18357","pt","Indefinido","Brasil","Indefinido..."
"Avalia____o_dos_efeitos_do_consumo_de_dietas_com_diferentes_percentuais_de_fibra_alimentar_do_baga__","Avalia├º├úo dos efeitos do consumo de dietas com diferentes percentuais de fibra alimentar do baga├ºo do caju em ratas","s.d.","Texto","Repository","http://www.repositorio.unilab.edu.br/jspui/handle/123456789/7421","pt","Indefinido","Brasil","O estudo avaliou os efeitos de dietas com diferentes percentuais de fibra alimentar do bagaço do caju em ratas. A metodologia principal envolveu a utilização de 192 ratos heterogênicos (machos e fêmeas) da linhagem Wistar, distribuídos em grupos alimentados com dietas variando na quantidade de fibra..."
