file,status,error
[EMBR_e4e774d94b8c5183e83764f29ef8da70]_Avalia____o_das_caracter__sticas_fisico_qu__micas_.pdf,ok,"2026/02/19 20:54:28 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_e4e774d94b8c5183e83764f29ef8da70]_Avalia____o_das_caracter__sticas_fisico_qu__micas_.pdf pdf 2026/02/19 20:54:28 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_e4e774d94b8c5183e83764f29ef8da70]_Avalia____o_das_caracter__sticas_fisico_qu__micas_.txt 2026/02/19 20:54:28 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_e4e774d94b8c5183e83764f29ef8da70]_Avalia____o_das_caracter__sticas_fisico_qu__micas_.pdf pdf false 448.8066ms 2026/02/19 20:54:28 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_e4e774d94b8c5183e83764f29ef8da70]_Avalia____o_das_caracter__sticas_fisico_qu__micas_.pdf"
[EMBR_f8295c340411437197859d0f064d13cf]_Compostos_fen__licos_em_ped__nculos_de_clones_de_c.pdf,ok,"2026/02/19 20:54:28 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_f8295c340411437197859d0f064d13cf]_Compostos_fen__licos_em_ped__nculos_de_clones_de_c.pdf pdf 2026/02/19 20:54:29 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_f8295c340411437197859d0f064d13cf]_Compostos_fen__licos_em_ped__nculos_de_clones_de_c.txt 2026/02/19 20:54:29 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_f8295c340411437197859d0f064d13cf]_Compostos_fen__licos_em_ped__nculos_de_clones_de_c.pdf pdf false 546.9364ms 2026/02/19 20:54:29 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_f8295c340411437197859d0f064d13cf]_Compostos_fen__licos_em_ped__nculos_de_clones_de_c.pdf"
[EMBR_fe566643b70b949602aa0ad23cbf8a53]_Antecipa____o_do_ponto_de_colheita_do_caju_CCP_76_.pdf,ok,"2026/02/19 20:54:29 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_fe566643b70b949602aa0ad23cbf8a53]_Antecipa____o_do_ponto_de_colheita_do_caju_CCP_76_.pdf pdf 2026/02/19 20:54:30 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_fe566643b70b949602aa0ad23cbf8a53]_Antecipa____o_do_ponto_de_colheita_do_caju_CCP_76_.txt 2026/02/19 20:54:30 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_fe566643b70b949602aa0ad23cbf8a53]_Antecipa____o_do_ponto_de_colheita_do_caju_CCP_76_.pdf pdf false 732.5699ms 2026/02/19 20:54:30 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[EMBR_fe566643b70b949602aa0ad23cbf8a53]_Antecipa____o_do_ponto_de_colheita_do_caju_CCP_76_.pdf"
[UFC-7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf,ok,"2026/02/19 20:54:30 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf pdf 2026/02/19 20:54:30 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.txt 2026/02/19 20:54:30 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf pdf false 142.6453ms 2026/02/19 20:54:30 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf"
[UFC-7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf,ok,"2026/02/19 20:54:30 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf pdf 2026/02/19 20:54:30 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.txt 2026/02/19 20:54:30 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf pdf false 530.931ms 2026/02/19 20:54:30 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf"
[UFC-7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf,ok,"2026/02/19 20:54:31 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf pdf 2026/02/19 20:54:31 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.txt 2026/02/19 20:54:31 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf pdf false 53.66ms 2026/02/19 20:54:31 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf"
[UFC-7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf,ok,"2026/02/19 20:54:31 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf pdf 2026/02/19 20:54:31 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.txt 2026/02/19 20:54:31 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf pdf false 747.8143ms 2026/02/19 20:54:31 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf"
[UFC-7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf,ok,"2026/02/19 20:54:32 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf pdf 2026/02/19 20:54:32 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.txt 2026/02/19 20:54:32 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf pdf false 795.4857ms 2026/02/19 20:54:32 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf"
[UFC-7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf,ok,"2026/02/19 20:54:32 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf pdf 2026/02/19 20:54:33 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.txt 2026/02/19 20:54:33 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf pdf false 419.2351ms 2026/02/19 20:54:33 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf"
[UFC-7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf,ok,"2026/02/19 20:54:33 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf pdf 2026/02/19 20:54:33 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.txt 2026/02/19 20:54:33 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf pdf false 502.93ms 2026/02/19 20:54:33 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf"
