repo_id,ies_nome,ies_sigla,ies_tipo,ies_categoria,ies_uf,ies_cidade,ies_site_principal,repo_nome,repo_url_home,repo_plataforma,repo_tipo_conteudo,texto_completo_oa,evidencia_oa_url,politica_acesso_url,restricao_login,indexacao_robos,oai_pmh_disponivel,oai_pmh_endpoint,oai_pmh_verificado,outros_endpoints,aparece_oasisbr,aparece_bdtd,aparece_scielo,aparece_opendoar,aparece_roar,camada_metodo,metodo_descoberta,data_verificacao,evidencias_urls,observacoes,status_repo
BR-AGG-0001,Instituto Brasileiro de Informação em Ciência e Tecnologia,IBICT,Agregador,Pública Federal,DF,Brasília,https://ibict.br/,Oasisbr,https://oasisbr.ibict.br/,Primo,Misto,Sempre,https://oasisbr.ibict.br/,,Não,OK,Sim,http://harvester.ibict.br:8092/request,Não,,Sim,Sim,Sim,Sim,Sim,1,Busca Específica,2026-02-19,https://oasisbr.ibict.br/,,Ativo
BR-EST-0001,Universidade de São Paulo,USP,Universidade,Pública Estadual,SP,São Paulo,https://www5.usp.br/,Repositório Institucional da USP,https://repositorio.usp.br/,DSpace,Misto,Sempre,https://repositorio.usp.br/item/003126789,,Não,OK,Sim,https://repositorio.usp.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca no site da IES,2026-02-11,https://www5.usp.br/,,Ativo
BR-EST-0002,Universidade Estadual Paulista,Unesp,Universidade,Pública Estadual,SP,São Paulo,https://www2.unesp.br/,Repositório Institucional da Unesp,https://repositorio.unesp.br/,DSpace,Misto,Sempre,https://repositorio.unesp.br/handle/11449/246747,,Não,OK,Sim,https://repositorio.unesp.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca no site da IES,2026-02-11,https://www2.unesp.br/,,Ativo
BR-EST-0003,Universidade Estadual de Campinas,Unicamp,Universidade,Pública Estadual,SP,Campinas,https://www.unicamp.br/,Repositório Institucional da Unicamp,http://repositorio.unicamp.br/,DSpace,Misto,Sempre,http://repositorio.unicamp.br/handle/REPOSIP/366767,,Não,OK,Sim,http://repositorio.unicamp.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca no site da IES,2026-02-11,https://www.unicamp.br/,,Ativo
BR-EST-0004,Universidade Estadual do Rio de Janeiro,UERJ,Universidade,Pública Estadual,RJ,Rio de Janeiro,https://www.uerj.br/,BDTD UERJ,https://www.bdtd.uerj.br/,TEDE,Teses/Dissertações,Sempre,https://www.bdtd.uerj.br:8443/handle/1/22372,,Não,OK,Sim,https://www.bdtd.uerj.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca no site da IES,2026-02-11,https://www.uerj.br/,,Ativo
BR-EST-0005,Universidade Estadual de Londrina,UEL,Universidade,Pública Estadual,PR,Londrina,https://www.uel.br/,Biblioteca Digital da UEL,https://www.bibliotecadigital.uel.br/,DSpace,Misto,Sempre,https://www.bibliotecadigital.uel.br/document/?code=vtls000253489,,Não,OK,Indefinido,,Não,,Sim,Sim,NA,Sim,Sim,2,Busca no site da IES,2026-02-11,https://www.uel.br/,,Ativo
BR-EST-0006,Universidade Estadual do Ceará,UECE,Universidade,Pública Estadual,CE,Fortaleza,https://www.uece.br/,Repositório Institucional da UECE,https://siduece.uece.br/,DSpace,Misto,Sempre,https://siduece.uece.br/rodeo/handle/123456789/276,,Não,OK,Sim,https://siduece.uece.br/rodeo/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca Específica,2026-02-11,https://www.uece.br/,,Ativo
BR-EST-0007,Universidade Estadual do Maranhão,UEMA,Universidade,Pública Estadual,MA,São Luís,https://www.uema.br/,UEMA Repositório,https://repositorio.uema.br/,DSpace,Misto,Sempre,https://repositorio.uema.br/handle/123456789/123,,Não,OK,Sim,https://repositorio.uema.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca Específica,2026-02-11,https://www.uema.br/,,Ativo
BR-EST-0008,Universidade do Estado do Pará,UEPA,Universidade,Pública Estadual,PA,Belém,https://www.uepa.br/,Repositório Institucional da UEPA,https://repositorio.uepa.br/,DSpace,Misto,Sempre,https://repositorio.uepa.br/jspui/handle/123456789/123,,Não,OK,Sim,https://repositorio.uepa.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca Específica,2026-02-11,https://www.uepa.br/,,Ativo
BR-EST-0009,Universidade do Estado da Bahia,UNEB,Universidade,Pública Estadual,BA,Salvador,https://portal.uneb.br/,Saber Aberto,https://saberaberto.uneb.br/,DSpace,Misto,Sempre,https://saberaberto.uneb.br/handle/123456789/123,,Não,OK,Sim,https://saberaberto.uneb.br/oai/request,Não,,Sim,Sim,NA,Sim,Sim,2,Busca Específica,2026-02-11,https://portal.uneb.br/,,Ativo
