title,abstract,keywords,authors,doi,url
"BioAutoML: Democratizing Machine Learning in Life Sciences","","","[""Bonidia, Robson Parmezan""]","","https://www.teses.usp.br/teses/disponiveis/55/55134/tde-01042024-092414/"
"Unified Time Series Framework for Explainable Artificial Intelligence","","","[""Bragança, Hendrio Luis de Souza"",""http://lattes.cnpq.br/7375456368369943 (orientador)"",""https://orcid.org/0000-0003-1479-1707 (orientador)""]","","https://tede.ufam.edu.br/handle/tede/11020"
"Construção de algoritmos de machine learning na radiologia","","","[""Kitamura, Felipe Campos [UNIFESP]""]","","https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10695234"
"Detecção de anomalias no funcionamento de software com Machine Learning","","","[""Yanai, Flávio Kenji""]","","https://tede2.pucsp.br/handle/handle/23323"
"Priorização de requisitos de software: uma análise sobre as principais técnicas adotadas na indústria e na academia","","","[""Ais, Renato Cesar""]","","http://repositorio.utfpr.edu.br/jspui/handle/1/38851"
"Exploring the mechanical behavior of friction material composites using artificial intelligence","","","[""Matté, Daniel""]","","https://repositorio.ucs.br/11338/14333"
"Contributions of machine learning to knowledge acquisition in the field of social sciences","","","[""Nascimento, Francielle Marques do""]","","http://hdl.handle.net/10183/217575"
"Image processing through machine learning for wood quality classification","","","[""Vieira, Fábio Henrique Antunes [UNESP]""]","","http://hdl.handle.net/11449/142813"
"Estimativa de produtividade de soja por meio de imagens orbitais e machine learning","","","[""Batistella, Danielli""]","","http://repositorio.utfpr.edu.br/jspui/handle/1/32295"
"Machine learning for materials science : 2d materials discovery and design","","","[""Schleder, Gabriel Ravanhani""]","","http://biblioteca.ufabc.edu.br/index.php?codigo_sophia=122298&midiaext=79612"
"Uso de machine learning para classificação de fornecedores no contexto da data science","","","[""SIQUEIRA JUNIOR, Laércio Almeida""]","","https://repositorio.unifei.edu.br/jspui/handle/123456789/2530"
"[en] ARTIFICIAL INTELLIGENCE METHODS APPLIED TO MECHANICAL ENGINEERING PROBLEMS","","","[""PEDRO HENRIQUE LEITE DA SILVA PIRES DOMINGUES""]","","https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=48474&idi=1"
"Aplicação de machine learning para análise dos fatores de ocorrências de crimes entre o período 2008 à 2012 nos municípios do Estado de São Paulo","","","[""Fernandes, Danilo Douradinho""]","","https://www.teses.usp.br/teses/disponiveis/12/12139/tde-14072025-153939/"
"O direito aplicável às decisões produzidas por software e machine learning: a influência e aplicação do direito brasileiro à robótica e inteligência artificial","","","[""Higasi, Plínio Kentaro de Britto Costa""]","","https://tede2.pucsp.br/handle/handle/23659"
"[en] A CRITICAL VIEW ON THE INTERPRETABILITY OF MACHINE LEARNING MODELS","","","[""JORGE LUIZ CATALDO FALBO SANTO""]","","https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=42398&idi=1"
"[en] PRODUCING AND EVALUATING VISUAL REPRESENTATIONS TOWARD EFFECTIVE EXPLAINABLE ARTIFICIAL INTELLIGENCE","","","[""BIANCA MOREIRA CUNHA""]","","https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=71825&idi=1"
"Tiny machine learning na aplicação de sistemas inteligentes autônomos na zootecnia de precisão","","","[""Wen, Tung Chiun""]","","https://www.teses.usp.br/teses/disponiveis/11/11152/tde-24062025-153930/"
"[pt] MACHINE LEARNING PARA PREVISÃO DO COMPORTAMENTO DE AREIAS EM ENSAIOS DE CISALHAMENTO DIRETO E DSS","","","[""GLEYCE DE SOUZA BAPTISTA""]","","https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=68591&idi=1"
"Abordagens de machine learning aplicadas à manutenção preditiva industrial para a detecção de falhas","","","[""Bromberger, Dani Antonini""]","","http://repositorio.ufsm.br/handle/1/31838"
"Optimization of intelligent sensorization systems with machine learning applied to robotic localization","","","[""Klein, Luan Carlos""]","","http://repositorio.utfpr.edu.br/jspui/handle/1/36015"
"Estudo de indicadores da qualidade da água em manancial superficial de abastecimento público","The present study attempted to the evaluation of water quality in a public superficial water supplying exposed to diverse anthropic impacts, to create consequently, subsidies for its management. The study was carried out in the municipal dams&apos; complex in Sao Jose do Rio Preto-SP, involving four campaigns of data collection on five different points of the studied water body. Were realized physical-chemical, organoleptic, chemical and microbiological analysis for the appraisal of 31 water quality parameters. These parameters are included in national and international guidelines related to bathing and drinking water conditions, protection of aquatic life and trophic situation of waters. The values obtained were then compared with the limits prescript on those guidelines. Parameters with values in discordance with those prescripts were found in all the guidelines consulted. Among these parameters, Fe, Cu, Zn, Mn, P total and fecal coliphorms, became detached because of the discordances frequency. Results show an alarming scene in relation to water quality in thewater supplying source. This situation remits to the importance of theeffectuation of mitigating and management actions in the river Rio Preto&apos;s basin and, in addiction, emphasizes the importance of future studies for the investigation of the effect of these contaminants in aquatic organisms, which are used as food by a portion of local population.","","[""Navarro, André Luiz Sanchez [UNESP]"",""Piranha, Joseli Maria [UNESP]"",""Pacheco, Alberto""]","","http://ojs.unesp.br/index.php/revista_proex/article/view/364"
"Desempenho de caprinos de três genótipos recebendo somatotropina bovina recombinante (rbST)","Forty-three animals of three genotypes, wich 13 Alpine (8 males and 5 females), 9 ½ Boer + ½ Alpine (4 males and 5 females) e 21 ¾ Boer + ¼ Alpine (11 males and 10 females), wich 21 received rbST and 22 control.The growth hormone used was the bovine recombinant somatotropin (rbST) and the animals of treatment 1 received the hormone in the adjusted amount from 0,3 mg/kg of live weight in intervals of 14 days. Animals of treatment 2 (control) had received saline solution in the same dosage and interval. There was no influence of the recombinant bovine somatotropin in the evaluated characteristics of performance. Males had been higher to females in weight gain of application of hormone to 120 days of age, as well as in daily average weight gain of 60 to 90, 90 to 120 and of application to 120 days of age. Weight to 90 and 120 days of age of females had been smaller in relation to males.","","[""Rodrigues, Luciana"",""Gonçalves, Heraldo Cesar [UNESP]"",""Cañizares, Gil Ignácio Lara [UNESP]"",""Menezes, Jakilane Jacque Leal"",""Ribeiro, Marcela Silva"",""Pires Sobrinho, Tatiana Lucila [UNESP]""]","","http://150.165.111.246/ojs-patos/index.php/ACSA/article/view/63"
"Uma aplicação farmacotécnica do algoritmo de Horn &amp; Schunck: Um estudo preliminar","Alternate current Biosusceptometry (ACB) is a low-cost biomagnetic tool that has been successfully applied on pharmaceutical research in both in vivo and in vitro experiments to evaluate performance of solid dosage forms. The aim of this work was to evaluate the Horn &amp; Shunck method to access tablet disintegration. The ACB used have seven pairs of detection coils and a pair of excitation coils to mensure the magnetic flux variation due ferromagnetic material (ferrite) approximation. The signals were amplified and digitalized to create images, which were restored by Wiener filter and had the optical flow estimation calculated by Horn &amp; Schunck (HS) algorithm. All signals and images are processed and developed algorithm on Matlab. During the tests the five tablets (500mg ferrite, 375mg excipients, compression 10 to 50 kN) were on a becker in front of the ACB system and only touching the surface of the water.","","[""Correa, Paulo Roberto [UNESP]"",""Fonseca Filho, Paulo Roberto da"",""Agostinho, Marcelo Rodrigues [UNESP]"",""Miranda, Jose Ricardo de Arruda [UNESP]""]","","http://www.rbfm.org.br/index.php/rbfm/article/view/85"
"Um novo ensino de história, logo, um novo currículo?","Universidade Estadual Paulista","","[""Roiz, Diogo da Silva [UNESP]""]","","http://dx.doi.org/10.1590/S1413-24782008000100017"
"Mixed infection by sugarcane mosaic virus and maize rayado fino virus causing breaking yields in maize in são paulo state.","The two main viruses infecting maize in Brazil are Sugarcane mosaic virus (SCMV) and Maize rayado fino virus (MRFV), whose main vectors are the aphid Rhopalosiphum maidis and the leafhopper Dalbulus maidis, respectively. MRFV is frequently found in mixed infections with phytoplasms and spiroplasms causing the so-called corn stunting diseases. In a maize commercial field close to Santo Antonio da Posse, São Paulo state, surrounded by sugarcane fields, it was found a high incidence of plants showing mosaic, striping, stunting and cobs with decreased number of grains. Serological analysis with specific antisera detected the presence of SCMV and MRFV in these plants. SCMV infection was also confirmed by RT-PCR with specific primers and sequence analysis. In TEM observations of negatively stained preparations, flexuous (ca.770 nm) and isometric particles (ca.30 nm) were detected. In ultrathin sections, cytoplasmic inclusions, typical of Potyviridae, were observed; neither presence of spiroplasms nor phytoplasms could be noted. These results show that mixed infection by SCMV and MRFV might be responsible for the crop losses.","","[""Gonçalves, Marcos César"",""Maia, Ivan de Godoy [UNESP]"",""Galleti, Sílvia Regina"",""Fantin, Gisèle Maria""]","","http://hdl.handle.net/11449/227925"
